Home,Away,Temperature (F),Forecast Description,year_week
Eagles,Falcons,81,Rain,2018_week1
Ravens,Bills,62,Light Rain,2018_week1
Giants,Jaguars,58,Light Rain,2018_week1
Patriots,Texans,62,Mostly Cloudy,2018_week1
Dolphins,Titans,88,Rain,2018_week1
Browns,Steelers,59,Light Rain,2018_week1
Chargers,Chiefs,85,Clear,2018_week1
Broncos,Seahawks,85,Clear,2018_week1
Panthers,Cowboys,83,Drizzle,2018_week1
Packers,Bears,60,Clear,2018_week1
Raiders,Rams,71,Clear,2018_week1
Bengals,Ravens,75,Clear,2018_week2
Washington,Colts,73,Mostly Cloudy,2018_week2
Titans,Texans,81,Partly Cloudy,2018_week2
Buccaneers,Eagles,89,Humid and Partly Cloudy,2018_week2
Steelers,Chiefs,79,Mostly Cloudy,2018_week2
Jets,Dolphins,82,Clear,2018_week2
Bills,Chargers,79,Clear,2018_week2
Packers,Vikings,78,Partly Cloudy,2018_week2
49ers,Lions,72,Clear,2018_week2
Rams,Cardinals,85,Clear,2018_week2
Jaguars,Patriots,93,Drizzle,2018_week2
Broncos,Raiders,90,Clear,2018_week2
Cowboys,Giants,87,Partly Cloudy,2018_week2
Bears,Seahawks,80,Clear,2018_week2
Browns,Jets,78,Humid,2018_week3
Washington,Packers,63,Light Rain,2018_week3
Eagles,Colts,61,Rain,2018_week3
Dolphins,Raiders,88,Humid and Partly Cloudy,2018_week3
Ravens,Broncos,62,Light Rain,2018_week3
Panthers,Bengals,81,Mostly Cloudy,2018_week3
Texans,Giants,79,Mostly Cloudy,2018_week3
Jaguars,Titans,87,Mostly Cloudy,2018_week3
Chiefs,49ers,72,Clear,2018_week3
Rams,Chargers,79,Clear,2018_week3
Seahawks,Cowboys,62,Partly Cloudy,2018_week3
Buccaneers,Steelers,77,Humid and Mostly Cloudy,2018_week3
Rams,Vikings,83,Clear,2018_week4
Jaguars,Jets,86,Humid and Mostly Cloudy,2018_week4
Patriots,Dolphins,66,Clear,2018_week4
Titans,Eagles,80,Clear,2018_week4
Packers,Bills,48,Overcast,2018_week4
Cowboys,Lions,79,Mostly Cloudy,2018_week4
Bears,Buccaneers,64,Overcast,2018_week4
Raiders,Browns,71,Clear,2018_week4
